Title,Price,Details,Location,Posted Time,Link
107 Gaj home with covered car parking near by main market,"₹ 45,00,000",2 Bds - 1 Ba - 900 ft2,"JAWAHAR COLONY, FARIDABAD",APR 26,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286
2BHK Flat at shivane with covered car parking Brand new condition,"₹ 37,99,000",2 BHK - 2 Bathroom - 1100 sqft,"SHIVANE, PUNE",3 DAYS AGO,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1100-sq-ft-in-shivane-pune-iid-1803879123
Covered car parking for sale (negotiable),"₹ 10,00,000",,"SUBHASPALLY, SILIGURI",5 DAYS AGO,https://www.olx.in/item/for-sale-shops-offices-c1733-168-sq-ft-in-subhaspally-siliguri-iid-1805786910
A 5000 SQFT COMMERCIAL OFFICE SPACE WITH COVERED CAR PARK FOR RENT,"₹ 3,00,000",,"VIMAN NAGAR, PUNE",TODAY,https://www.olx.in/item/for-rent-shops-offices-c1731-5000-sq-ft-in-viman-nagar-pune-iid-1805302317
Car Cover and Power Steering pump,"₹ 5,500",,"PARDHASARDI NAGAR, MANDAPETA",TODAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-pardhasardi-nagar-mandapeta-iid-1807070098
", new car cover","₹ 2,000",,"KISHANPURA, WARANGAL",TODAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kishanpura-warangal-iid-1807295554
A 1350 SQFT FURNISHED 2BHK FLAT WITH COVERED CAR PARK AVAIL FOR RENT,"₹ 75,000",2 Bds - 2 Ba - 1350 ft2,"VIMAN NAGAR, PUNE",TODAY,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1350-sq-ft-in-viman-nagar-pune-iid-1805288003
Car Seat Cover (Swift),₹ 450,,"THERGAON, PUNE",TODAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-thergaon-pune-iid-1800567882
2 BHK house for rent along with covered car parking,"₹ 14,000",2 BHK - 2 Bathroom - 1500 sqft,"INDIRA NAGAR, LUCKNOW",TODAY,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1500-sq-ft-in-indira-nagar-lucknow-iid-1798699021
Well ventilated and super spacious flat with covered car parking,"₹ 18,000",2 BHK - 2 Bathroom - 1100 sqft,"WAGHOLI, PUNE",TODAY,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1100-sq-ft-in-wagholi-pune-iid-1807268010
2BHK Flat with covered car park,"₹ 10,000",2 BHK - 2 Bathroom - 1300 sqft,"KESAVADASAPURAM, THIRUVANANTHAPURAM",TODAY,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1300-sq-ft-in-kesavadasapuram-thiruvananthapuram-iid-1807261028
"2 BHK 1240 SQFT ,WITH STORE,COVERED CAR PARKING POWER BACKUP FOR SALE","₹ 54,90,000",2 BHK - 2 Bathroom - 1240 sqft,"SECTOR 127, MOHALI",TODAY,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1240-sq-ft-in-sector-127-mohali-iid-1807258846
Front side 4 Bed with Covered Car Parking & Lift in Indirapuram,"₹ 1,25,50,000",4 Bds - 3 Ba - 2000 ft2,"INDIRAPURAM, GHAZIABAD",TODAY,https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-builder-floors-2000-sq-ft-in-indirapuram-ghaziabad-iid-1782657383
3Bed with Covered Car Parking and Lift in Shakti Khand-4,"₹ 1,29,00,000",3 Bds - 2 Ba - 1450 ft2,"INDIRAPURAM SHAKTI KHAND 4, GHAZIABAD",TODAY,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1450-sq-ft-in-indirapuram-shakti-khand-4-ghaziabad-iid-1761656783
2Bed with Covered Car Parking in Vaishali sec-5,"₹ 65,00,000",2 Bds - 2 Ba - 1125 ft2,"VAISHALI SECTOR 5, GHAZIABAD",TODAY,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-builder-floors-1125-sq-ft-in-vaishali-sector-5-ghaziabad-iid-1754359223
All Maruthi Seat cover car stereo,"₹ 1,000",,"PANAMARAM, WAYANAD",TODAY,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-panamaram-wayanad-iid-1796086514
2 BHK Flat For sale in Tower With Cover Car parking,"₹ 90,00,000",2 BHK - 2 Bathroom - 1100 sqft,"ULWE, NAVI MUMBAI",TODAY,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1100-sq-ft-in-ulwe-navi-mumbai-iid-1805836017
Ecco car cover,"₹ 1,500",,"OMEX CITY, LUCKNOW",TODAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-omex-city-lucknow-iid-1804468000
Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111",,"DABUA COLONY, FARIDABAD",MAY 09,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193
Car seat cover vsp,"₹ 4,200",,"SEETAMMA PETA, VISAKHAPATNAM",APR 17,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1804345294
Car Seat Covers del,"₹ 3,800",,"TEEN MURTI MARG AREA, DELHI",APR 22,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-teen-murti-marg-area-delhi-iid-1804756254
Brembo caliper covers for all cars,₹ 700,,"GACHIBOWLI, HYDERABAD",TODAY,https://www.olx.in/item/spare-parts-c1585-brembo-caliper-covers-for-all-cars-in-gachibowli-hyderabad-iid-1800430070
Waterproof Car Body Cover Compatible All Weather Protection With Tr...,"₹ 1,399",,"PAREL, MUMBAI",TODAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-parel-mumbai-iid-1807230650
2bhk semi furnished with covered car parking flat availble for rent,"₹ 22,500",2 BHK - 3 Bathroom - 890 sqft,"DHANORI, PUNE",YESTERDAY,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-890-sq-ft-in-dhanori-pune-iid-1806761349
Brembo brake caliper covers all colours available for all cars,₹ 699,,"BEGUMPET, HYDERABAD",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-brembo-brake-caliper-covers-all-colours-available-for-all-cars-in-begumpet-hyderabad-iid-1805724400
Defander car stepni cover,"₹ 15,000",,"ASHOK VIHAR, DELHI",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-ashok-vihar-delhi-iid-1669544151
Family used 2011 manza diesel car full cover insurance (idv 262000),"₹ 1,79,999","2011 - 116,500 km","M.G.ROAD, THRISSUR",YESTERDAY,https://www.olx.in/item/cars-c84-used-tata-manza-in-mgroad-thrissur-iid-1807207480
Car seat cover wooden bead balls,₹ 499,,"DANI LIMDA, AHMEDABAD",YESTERDAY,https://www.olx.in/item/other-household-items-c293-car-seat-cover-wooden-bead-balls-in-dani-limda-ahmedabad-iid-1805504221
2.5 years old lift covered car parking,"₹ 17,000",2 BHK - 2 Bathroom - 875 sqft,"PARK TOWN, MADURAI",YESTERDAY,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-875-sq-ft-in-park-town-madurai-iid-1804588955
Honda Amaze 2013 2new Tyres Android new system New Seat cover,"₹ 3,75,000","2013 - 54,000 km","ADAT, KERALA",YESTERDAY,https://www.olx.in/item/cars-c84-used-honda-amaze-in-adat-kerala-iid-1807189105
Duplex house with covered Car parking,"₹ 53,00,000",2 BHK - 3 Bathroom - 1300 sqft,"GUDUVANCHERY, CHENNAI",YESTERDAY,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-1300-sq-ft-in-guduvanchery-chennai-iid-1807173986
Maruti Car Rim+FREE Wheel Cover,"₹ 1,100",,"SECTOR 120, NOIDA",YESTERDAY,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-sector-120-noida-iid-1805660953
75 Gaj newly constructed home with covered car parking,"₹ 33,00,001",2 Bds - 1 Ba - 750 ft2,"NANGLA GURJAN, FARIDABAD",YESTERDAY,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846
2BHK FLAT SALE Magnolia Fantasia with covered car parking No broaker,"₹ 26,90,000",2 BHK - 2 Bathroom - 689 sqft,"BARASAT- BARRACKPORE ROAD, KOLKATA",YESTERDAY,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-689-sq-ft-in-barasat-barrackpore-road-kolkata-iid-1791888291
2bhk in 50lacs with Covered car parking in Ravet,"₹ 50,00,000",2 BHK - 2 Bathroom - 877 sqft,"RAVET, PUNE",YESTERDAY,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-877-sq-ft-in-ravet-pune-iid-1807154093
2bhk flat rent family car parking covered om soc katraj,"₹ 17,500",1 BHK - 1 Bathroom - 915 sqft,"KATRAJ, PUNE",YESTERDAY,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-915-sq-ft-in-katraj-pune-iid-1807134293
clean and pure original car with insurence covered,"₹ 5,70,000","2019 - 85,000 km","VICTORIYA POOL, MANDI",YESTERDAY,https://www.olx.in/item/cars-c84-used-honda-amaze-in-victoriya-pool-mandi-iid-1804409599
1 bhk with cover car parking and master bedroom,"₹ 14,55,000",1 BHK - 1 Bathroom - 705 sqft,"RATA, VAPI",5 DAYS AGO,https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-705-sq-ft-in-rata-vapi-iid-1806769879
